ID,NAME,COST,PRICE,RSP,STOCK,MARGIN,PROFIT,PRODUCT_GROUP_ID,PRODUCT_GROUP_NAME,PRODUCT_DISCOUNT_GROUP,PRODUCT_DISCOUNT_GROUP_PERCENTAGE,SEASON
363,Product 363,27.53,32.08,39.49,197,0.1419,4.47,28,Product Group 28,DG-03,0.03,S-3
704,Product 704,27.62,34.11,38.99,193,0.1905,6.38,36,Product Group 36,DG-07,0.07,S-3
757,Product 757,35.77,40.22,50.99,181,0.1107,4.37,16,Product Group 16,DG-04,0.04,S-3
670,Product 670,15.33,19.85,22.99,221,0.2278,4.44,34,Product Group 34,DG-04,0.04,S-3
482,Product 482,6.12,8.14,10.49,244,0.2478,1.98,40,Product Group 40,DG-09,0.09,S-3
558,Product 558,22.53,25.96,31.49,209,0.1322,3.37,25,Product Group 25,DG-08,0.08,S-3
173,Product 173,6.14,7.63,8.99,245,0.1949,1.46,21,Product Group 21,DG-00,0.0,S-3
261,Product 261,6.24,7.63,9.49,245,0.1829,1.37,6,Product Group 6,DG-00,0.0,S-3
865,Product 865,18.33,23.41,25.49,214,0.2171,4.99,23,Product Group 23,DG-05,0.05,S-3
999,Product 999,37.79,49.39,57.49,163,0.2347,11.38,40,Product Group 40,DG-09,0.09,S-3
374,Product 374,14.32,17.82,20.49,225,0.1961,3.43,43,Product Group 43,DG-00,0.0,S-3
788,Product 788,6.12,7.63,9.99,245,0.1976,1.48,33,Product Group 33,DG-04,0.04,S-3
454,Product 454,21.51,28.0,32.49,205,0.2317,6.37,21,Product Group 21,DG-00,0.0,S-3
235,Product 235,17.43,21.89,24.99,217,0.2038,4.38,28,Product Group 28,DG-03,0.03,S-3
67,Product 67,49.95,64.67,77.99,133,0.2276,14.45,15,Product Group 15,DG-09,0.09,S-3
327,Product 327,44.89,52.44,66.99,157,0.1439,7.41,30,Product Group 30,DG-02,0.02,S-3
20,Product 20,35.75,42.77,53.49,176,0.1641,6.89,23,Product Group 23,DG-05,0.05,S-3
0,Product 0,44.81,56.52,64.99,149,0.2071,11.49,18,Product Group 18,DG-02,0.02,S-3
943,Product 943,8.22,10.69,12.49,239,0.2307,2.42,34,Product Group 34,DG-04,0.04,S-3
243,Product 243,46.86,53.97,65.49,154,0.1317,6.98,13,Product Group 13,DG-05,0.05,S-3
434,Product 434,29.6,33.6,37.49,194,0.1191,3.93,17,Product Group 17,DG-09,0.09,S-3
978,Product 978,36.67,47.86,57.49,166,0.2339,10.99,7,Product Group 7,DG-01,0.01,S-3
727,Product 727,13.25,15.77,18.49,229,0.1601,2.48,41,Product Group 41,DG-01,0.01,S-3
478,Product 478,29.56,36.66,45.99,188,0.1937,6.97,21,Product Group 21,DG-00,0.0,S-3
175,Product 175,43.88,53.47,62.49,155,0.1793,9.41,1,Product Group 1,DG-06,0.06,S-3
118,Product 118,37.73,46.84,56.99,168,0.1944,8.94,37,Product Group 37,DG-03,0.03,S-3
180,Product 180,12.32,14.76,16.49,231,0.1649,2.39,6,Product Group 6,DG-00,0.0,S-3
291,Product 291,48.92,55.5,67.99,151,0.1186,6.46,24,Product Group 24,DG-00,0.0,S-3
834,Product 834,38.72,47.35,58.99,167,0.1824,8.48,26,Product Group 26,DG-06,0.06,S-3
394,Product 394,46.91,53.47,63.99,155,0.1227,6.44,38,Product Group 38,DG-07,0.07,S-3
829,Product 829,18.47,22.9,29.99,215,0.1939,4.36,32,Product Group 32,DG-08,0.08,S-3
770,Product 770,21.48,27.49,31.49,206,0.2186,5.9,15,Product Group 15,DG-09,0.09,S-3
306,Product 306,42.85,50.92,64.49,160,0.1584,7.92,10,Product Group 10,DG-01,0.01,S-3
913,Product 913,37.79,47.35,59.99,167,0.2018,9.38,18,Product Group 18,DG-02,0.02,S-3
828,Product 828,33.67,40.73,46.99,180,0.1733,6.93,14,Product Group 14,DG-03,0.03,S-3
26,Product 26,15.29,18.83,21.99,223,0.1882,3.48,23,Product Group 23,DG-05,0.05,S-3
33,Product 33,22.53,25.96,29.99,209,0.1322,3.37,21,Product Group 21,DG-00,0.0,S-3
186,Product 186,43.89,52.96,61.99,156,0.1712,8.9,46,Product Group 46,DG-05,0.05,S-3
587,Product 587,37.75,45.83,58.49,170,0.176,7.92,32,Product Group 32,DG-08,0.08,S-3
139,Product 139,42.85,56.01,62.99,150,0.235,12.92,24,Product Group 24,DG-00,0.0,S-3
145,Product 145,20.4,26.98,33.99,207,0.2442,6.47,5,Product Group 5,DG-08,0.08,S-3
19,Product 19,33.68,39.71,46.49,182,0.1518,5.92,1,Product Group 1,DG-06,0.06,S-3
364,Product 364,10.26,12.72,15.99,235,0.1938,2.42,11,Product Group 11,DG-02,0.02,S-3
682,Product 682,40.78,49.39,56.99,163,0.1743,8.45,11,Product Group 11,DG-02,0.02,S-3
851,Product 851,6.19,8.14,10.49,244,0.2403,1.92,23,Product Group 23,DG-05,0.05,S-3
588,Product 588,10.2,13.23,17.99,234,0.2294,2.98,25,Product Group 25,DG-08,0.08,S-3
726,Product 726,46.93,57.54,71.99,147,0.1845,10.42,19,Product Group 19,DG-07,0.07,S-3
347,Product 347,5.16,6.61,8.49,247,0.2188,1.42,23,Product Group 23,DG-05,0.05,S-3
104,Product 104,22.43,29.02,32.49,203,0.2271,6.47,37,Product Group 37,DG-03,0.03,S-3
521,Product 521,40.75,52.96,62.49,156,0.2304,11.98,24,Product Group 24,DG-00,0.0,S-3
781,Product 781,48.93,57.54,63.99,147,0.1496,8.45,16,Product Group 16,DG-04,0.04,S-3
534,Product 534,38.73,43.79,49.99,174,0.1156,4.97,11,Product Group 11,DG-02,0.02,S-3
99,Product 99,23.44,30.54,35.99,200,0.2324,6.97,38,Product Group 38,DG-07,0.07,S-3
27,Product 27,41.83,53.47,58.49,155,0.2176,11.42,23,Product Group 23,DG-05,0.05,S-3
803,Product 803,20.43,24.95,30.49,211,0.1813,4.44,30,Product Group 30,DG-02,0.02,S-3
226,Product 226,42.9,51.42,57.99,159,0.1658,8.37,0,Product Group 0,DG-07,0.07,S-3
142,Product 142,32.62,39.71,43.99,182,0.1785,6.96,17,Product Group 17,DG-09,0.09,S-3
418,Product 418,34.73,39.21,47.49,183,0.1143,4.4,46,Product Group 46,DG-05,0.05,S-3
880,Product 880,23.46,29.53,36.99,202,0.2052,5.95,17,Product Group 17,DG-09,0.09,S-3
733,Product 733,44.82,52.44,57.49,157,0.1453,7.48,1,Product Group 1,DG-06,0.06,S-3
46,Product 46,44.83,55.5,66.99,151,0.1921,10.47,36,Product Group 36,DG-07,0.07,S-3
319,Product 319,21.49,27.49,35.99,206,0.2182,5.89,9,Product Group 9,DG-02,0.02,S-3
484,Product 484,36.73,42.26,46.99,177,0.1309,5.43,31,Product Group 31,DG-02,0.02,S-3
546,Product 546,24.47,31.57,36.99,198,0.2249,6.97,3,Product Group 3,DG-08,0.08,S-3
410,Product 410,21.5,24.95,27.99,211,0.138,3.38,28,Product Group 28,DG-03,0.03,S-3
391,Product 391,17.43,21.89,27.49,217,0.2038,4.38,6,Product Group 6,DG-00,0.0,S-3
742,Product 742,38.79,43.79,47.99,174,0.1142,4.91,2,Product Group 2,DG-04,0.04,S-3
994,Product 994,42.78,52.44,62.99,157,0.1843,9.49,7,Product Group 7,DG-01,0.01,S-3
939,Product 939,15.4,20.36,26.49,220,0.2436,4.87,24,Product Group 24,DG-00,0.0,S-3
166,Product 166,17.37,22.4,28.49,216,0.2246,4.94,12,Product Group 12,DG-05,0.05,S-3
613,Product 613,10.28,13.23,15.49,234,0.2232,2.9,3,Product Group 3,DG-08,0.08,S-3
731,Product 731,7.23,9.16,11.49,242,0.2102,1.89,28,Product Group 28,DG-03,0.03,S-3
542,Product 542,34.7,39.71,48.99,182,0.1264,4.93,44,Product Group 44,DG-07,0.07,S-3
687,Product 687,46.93,53.97,60.49,154,0.1306,6.92,37,Product Group 37,DG-03,0.03,S-3
223,Product 223,46.86,54.99,65.49,152,0.1478,7.98,10,Product Group 10,DG-01,0.01,S-3
580,Product 580,42.89,50.92,63.49,160,0.1576,7.88,48,Product Group 48,DG-06,0.06,S-3
140,Product 140,22.52,25.96,31.99,209,0.1326,3.38,7,Product Group 7,DG-01,0.01,S-3
56,Product 56,31.7,39.21,47.49,183,0.1915,7.37,8,Product Group 8,DG-01,0.01,S-3
39,Product 39,48.9,54.48,66.49,153,0.1024,5.48,15,Product Group 15,DG-09,0.09,S-3
832,Product 832,33.71,39.71,50.49,182,0.1511,5.89,31,Product Group 31,DG-02,0.02,S-3
567,Product 567,36.67,42.77,48.99,176,0.1427,5.99,33,Product Group 33,DG-04,0.04,S-3
808,Product 808,37.73,46.34,56.49,169,0.1855,8.44,26,Product Group 26,DG-06,0.06,S-3
121,Product 121,18.38,22.9,25.49,215,0.1974,4.44,19,Product Group 19,DG-07,0.07,S-3
397,Product 397,40.77,48.88,60.99,164,0.1659,7.96,32,Product Group 32,DG-08,0.08,S-3
787,Product 787,39.73,51.42,57.49,159,0.2274,11.48,24,Product Group 24,DG-00,0.0,S-3
630,Product 630,47.93,61.1,67.49,140,0.2155,12.93,48,Product Group 48,DG-06,0.06,S-3
516,Product 516,8.21,11.19,14.99,238,0.2666,2.93,39,Product Group 39,DG-05,0.05,S-3
447,Product 447,13.25,15.77,19.49,229,0.1601,2.48,4,Product Group 4,DG-03,0.03,S-3
458,Product 458,26.56,35.13,44.49,191,0.2438,8.41,21,Product Group 21,DG-00,0.0,S-3
677,Product 677,48.94,59.06,67.49,144,0.1714,9.94,17,Product Group 17,DG-09,0.09,S-3
237,Product 237,5.09,7.12,8.99,246,0.2847,1.99,1,Product Group 1,DG-06,0.06,S-3
864,Product 864,9.3,12.21,13.49,236,0.2385,2.86,28,Product Group 28,DG-03,0.03,S-3
652,Product 652,19.42,23.41,29.99,214,0.1705,3.92,27,Product Group 27,DG-09,0.09,S-3
65,Product 65,29.66,33.6,38.99,194,0.1173,3.87,3,Product Group 3,DG-08,0.08,S-3
960,Product 960,30.58,39.21,48.49,183,0.2198,8.46,14,Product Group 14,DG-03,0.03,S-3
495,Product 495,32.61,40.73,45.99,180,0.1993,7.97,25,Product Group 25,DG-08,0.08,S-3
894,Product 894,43.9,51.93,58.49,158,0.1547,7.89,26,Product Group 26,DG-06,0.06,S-3
353,Product 353,5.12,7.12,8.49,246,0.2804,1.96,41,Product Group 41,DG-01,0.01,S-3
383,Product 383,41.83,52.96,63.49,156,0.21,10.92,7,Product Group 7,DG-01,0.01,S-3
634,Product 634,13.32,16.8,19.49,227,0.2074,3.42,27,Product Group 27,DG-09,0.09,S-3
256,Product 256,26.58,30.03,35.49,201,0.115,3.39,6,Product Group 6,DG-00,0.0,S-3
456,Product 456,30.6,34.63,41.49,192,0.1159,3.94,15,Product Group 15,DG-09,0.09,S-3
5,Product 5,25.6,31.06,34.49,199,0.1758,5.36,30,Product Group 30,DG-02,0.02,S-3
598,Product 598,33.68,43.28,51.99,175,0.2217,9.42,35,Product Group 35,DG-08,0.08,S-3
782,Product 782,21.47,24.95,29.99,211,0.1392,3.41,11,Product Group 11,DG-02,0.02,S-3
506,Product 506,12.26,14.76,16.99,231,0.1691,2.45,11,Product Group 11,DG-02,0.02,S-3
636,Product 636,26.49,33.09,38.49,195,0.1994,6.48,18,Product Group 18,DG-02,0.02,S-3
222,Product 222,29.56,36.66,46.49,188,0.1937,6.97,6,Product Group 6,DG-00,0.0,S-3
778,Product 778,37.76,44.29,55.49,173,0.1474,6.41,19,Product Group 19,DG-07,0.07,S-3
246,Product 246,33.63,43.79,50.49,174,0.2319,9.97,18,Product Group 18,DG-02,0.02,S-3
445,Product 445,30.57,37.16,47.49,187,0.1773,6.47,33,Product Group 33,DG-04,0.04,S-3
60,Product 60,49.02,57.54,70.49,147,0.148,8.36,30,Product Group 30,DG-02,0.02,S-3
376,Product 376,41.82,46.84,51.99,168,0.1072,4.93,48,Product Group 48,DG-06,0.06,S-3
556,Product 556,48.96,58.56,68.49,145,0.1639,9.42,34,Product Group 34,DG-04,0.04,S-3
169,Product 169,18.45,22.4,25.49,216,0.1764,3.88,29,Product Group 29,DG-01,0.01,S-3
362,Product 362,30.67,39.71,48.99,182,0.2275,8.87,45,Product Group 45,DG-00,0.0,S-3
225,Product 225,30.59,39.71,50.49,182,0.2295,8.95,24,Product Group 24,DG-00,0.0,S-3
49,Product 49,17.33,22.4,24.49,216,0.2265,4.98,47,Product Group 47,DG-09,0.09,S-3
218,Product 218,33.63,38.18,43.49,185,0.1192,4.47,41,Product Group 41,DG-01,0.01,S-3
200,Product 200,33.72,43.28,53.49,175,0.2208,9.38,18,Product Group 18,DG-02,0.02,S-3
916,Product 916,45.91,56.01,64.49,150,0.1804,9.92,42,Product Group 42,DG-06,0.06,S-3
642,Product 642,36.78,46.84,51.99,168,0.2148,9.88,21,Product Group 21,DG-00,0.0,S-3
355,Product 355,47.88,54.48,63.99,153,0.1211,6.48,25,Product Group 25,DG-08,0.08,S-3
42,Product 42,8.28,10.69,13.49,239,0.225,2.36,16,Product Group 16,DG-04,0.04,S-3
112,Product 112,16.3,19.34,23.49,222,0.1569,2.98,15,Product Group 15,DG-09,0.09,S-3
586,Product 586,38.77,47.86,59.99,166,0.19,8.93,4,Product Group 4,DG-03,0.03,S-3
28,Product 28,50.02,65.18,77.49,132,0.2325,14.88,37,Product Group 37,DG-03,0.03,S-3
824,Product 824,8.23,10.69,14.99,239,0.2297,2.41,37,Product Group 37,DG-03,0.03,S-3
850,Product 850,17.38,22.4,26.99,216,0.2242,4.93,26,Product Group 26,DG-06,0.06,S-3
